district;Apartamento;Casa;Casa em condomínio;Studio e kitnet
Jardim Vista Alegre;1.0;0.0;0.0;0.0
Jardim Vista Linda;0.0;1.0;0.0;0.0
Jardim Vitoria Regia;1.0;0.0;0.0;0.0
Jardim Vitoria Regia (zona Oeste);1.0;0.0;0.0;0.0
Jardim Vitória Régia;3.0;2.0;0.0;1.0
Jardim Vivan;1.0;0.0;0.0;0.0
Jardim Zaira;1.0;0.0;0.0;0.0
Jardim da Campina;0.0;1.0;0.0;0.0
Jardim da Gloria;4.0;1.0;0.0;0.0
Jardim da Glória;8.0;5.0;0.0;2.0
Jardim da Mamãe;0.0;1.0;0.0;0.0
Jardim da Saúde;7.0;1.0;0.0;0.0
Jardim das Acacias;3.0;0.0;0.0;5.0
Jardim das Acácias;8.0;2.0;0.0;6.0
Jardim das Bandeiras;2.0;0.0;0.0;0.0
Jardim das Esmeraldas;0.0;5.0;0.0;0.0
Jardim das Flores;3.0;12.0;0.0;1.0
Jardim das Gracas;2.0;0.0;0.0;0.0
Jardim das Graças;1.0;0.0;0.0;0.0
Jardim das Laranjeiras;7.0;5.0;0.0;0.0
Jardim das Maravilhas;1.0;2.0;0.0;0.0
Jardim das Nações;1.0;0.0;0.0;0.0
Jardim das Perdizes;1.0;0.0;0.0;0.0
